,job_title,min_salary,max_salary,city,state,company_name,company_industry,company_rating,bachelors,masters,phd
831,Data A0lyst,45551,86720,Fremont,CA,Sunvalleytek Inter0tio0l Inc.,Transportation & Logistics,3.7,1,1,0
832,Exascale Computatio0l Crystallographer Project Scientist,0,0,Berkeley,CA,Lawrence Berkeley Lab,Government,4.1,0,0,1
833,Data Engineer,120363,145993,Belmont,CA,B-Stock Solutions,Information Technology,4.4,1,1,0
834,Data Engineer Manager,152164,195246,San Francisco,CA,Womply,Information Technology,3.2,0,0,0
835,Research Associate or Scientist (Process Development),0,0,San Francisco,CA,"Biotium, Inc. Fremont, California",0,0,1,1,1
836,Associate Scientist- Car-T,0,0,San Francisco,CA,Sonoma Biotherapeutics,0,0,1,1,0
837,SAS Data A0lyst,0,0,Oakland,CA,Ascent,Business Services,4.6,0,0,0
838,Data Infrastructure Engineer - Algorithms Platform,124691,206700,San Francisco,CA,Stitch Fix,Retail,3.3,0,0,0
839,Senior Data Engineer,124778,124778,San Francisco,CA,Womply,Information Technology,3.2,0,1,0
840,Data Engineer,100959,124595,San Bruno,CA,intellyk,0,3.8,0,0,0
841,"Senior Scientist, Clinical Pharmacokinetics",129936,165727,Brisbane,CA,"MyoKardia, Inc.",0,4.3,0,0,1
842,Research Associate/Scientist - Mucke Lab,45250,51203,San Francisco,CA,The Gladstone Institutes,Biotech & Pharmaceuticals,4.5,1,1,0
843,Computatio0l Biologist IV,0,0,South San Francisco,CA,Ascent,Business Services,4.6,0,1,0
844,Data A0lyst,59770,77221,Concord,CA,Swinerton Builders,"Construction, Repair & Mainte0nce",4.1,1,1,0
845,Data Engineer,103202,137168,San Mateo,CA,Human API,Information Technology,3.6,0,0,0
846,"Sr. Scientist, Computatio0l Chemistry",0,0,South San Francisco,CA,MyoKardia,0,4.3,0,0,1
847,eCom Senior Data Engineer,120423,134748,San Francisco,CA,PepsiCo,Manufacturing,3.7,0,0,0
848,Staff Research Scientist/Genomics Core Director,67624,109833,San Francisco,CA,The Gladstone Institutes,Biotech & Pharmaceuticals,4.5,0,0,1
849,Senior Social Media Data A0lyst,0,0,San Francisco,CA,"BNP Paribas Investment Partners USA Holdings, Inc.",0,0,1,0,0
850,Staff Research Scientist - Akassoglou Lab,84600,114595,San Francisco,CA,The Gladstone Institutes,Biotech & Pharmaceuticals,4.5,0,0,1
851,Scientist - Computatio0l Biology - Discovery Biomarkers,99140,114468,South San Francisco,CA,Amgen,Biotech & Pharmaceuticals,3.7,1,1,1
852,Data Engineer II,0,0,Menlo Park,CA,Apex Systems,Business Services,3.8,1,1,0
853,Senior Machine Learning Engineer,165830,192579,San Mateo,CA,IPSY,Retail,3.8,1,1,1
854,Data A0lyst I,43745,76385,Hercules,CA,"Bio-Rad Laboratories, Inc.",Biotech & Pharmaceuticals,3.3,1,1,0
855,Senior Associate Scientist/Scientist,79916,162340,Union City,CA,Zoetis,Biotech & Pharmaceuticals,3.6,1,0,0
856,"Senior Scientist I/II, Biology",0,0,South San Francisco,CA,Maze Therapeutics,0,0,0,0,1
857,Fi0nce Data A0lyst,48555,89837,San Francisco,CA,DIVIDEND FI0NCE LLC,Fi0nce,4.7,1,0,0
858,Senior Library Information Scientist,111914,144509,South San Francisco,CA,"Seattle Genetics, Inc.",Biotech & Pharmaceuticals,3.9,0,1,0
859,"Sr Consulting Data A0lyst - SAS, R, Python",65796,116704,Oakland,CA,Kaiser Permanente,Health Care,3.9,1,1,0
860,"Data Consultant - SAS, R, Python",85889,125886,Oakland,CA,Kaiser Permanente,Health Care,3.9,1,1,0
861,Associate Scientist,0,0,South San Francisco,CA,Kelly,Business Services,3.4,0,0,0
862,Clinical Scientist II,0,0,South San Francisco,CA,Ascent,Business Services,4.6,1,1,1
